account_id,bureau_pull_date,credit_score_current,credit_score_3m_ago,credit_score_6m_ago,active_loan_count,total_outstanding_all_lenders,missed_payments_other_lenders_6m,worst_dpd_12m,hard_enquiries_30d,hard_enquiries_60d,hard_enquiries_90d,new_accounts_opened_6m,credit_utilisation_ratio,writeoff_or_settled_flag
ACC_00001,2024-01-01,779,780,777,3,335177,0,0,0,0,0,0,,False
ACC_00001,2024-06-01,786,787,797,2,328561,0,0,0,0,0,0,,False
ACC_00001,2024-12-01,789,784,794,1,164424,0,0,0,0,0,0,,False
ACC_00002,2024-01-01,680,680,679,3,220330,0,0,0,0,0,0,,False
ACC_00002,2024-06-01,692,698,702,2,103527,0,0,0,0,0,0,,False
ACC_00002,2024-12-01,654,636,611,3,199715,3,57,2,3,5,3,,False
ACC_00003,2024-01-01,635,615,600,2,2533191,1,3,1,3,3,0,,False
ACC_00003,2024-06-01,606,593,571,4,6171242,3,62,1,1,1,1,,False
ACC_00003,2024-12-01,571,546,520,3,4530475,3,82,2,3,4,3,,False
ACC_00004,2024-01-01,728,723,724,3,344000,0,0,0,0,0,0,0.27,False
ACC_00004,2024-06-01,738,740,750,2,222366,0,0,0,0,0,0,0.17,False
ACC_00004,2024-12-01,702,694,677,5,497813,2,74,3,5,6,1,0.35,False
ACC_00005,2024-01-01,649,635,628,2,1287349,0,18,0,1,3,0,,False
ACC_00005,2024-06-01,622,607,592,2,1246957,2,87,3,5,6,1,,False
ACC_00005,2024-12-01,591,566,544,2,1446110,3,69,4,5,6,3,,False
ACC_00006,2024-01-01,750,748,750,2,213648,0,0,0,0,0,0,0.4,False
ACC_00006,2024-06-01,764,762,760,1,99117,0,0,0,0,0,0,0.38,False
ACC_00006,2024-12-01,773,782,781,1,82547,0,0,0,0,0,0,0.16,False
ACC_00007,2024-01-01,770,768,764,3,5225595,0,0,0,0,0,0,,False
ACC_00007,2024-06-01,777,780,775,3,8837484,0,0,0,0,0,0,,False
ACC_00007,2024-12-01,780,778,781,3,6578727,0,0,0,0,0,0,,False
ACC_00008,2024-01-01,795,796,794,2,382401,0,0,0,0,0,0,,False
ACC_00008,2024-06-01,810,809,809,2,360587,0,0,0,0,0,0,,False
ACC_00008,2024-12-01,813,817,822,3,571788,0,0,0,0,0,0,,False
ACC_00009,2024-01-01,771,775,770,3,497048,0,0,0,0,0,0,,False
ACC_00009,2024-06-01,773,773,773,3,466215,0,0,0,0,0,0,,False
ACC_00009,2024-12-01,785,793,794,3,361307,0,0,0,0,0,0,,False
ACC_00010,2024-01-01,796,792,789,1,352380,0,0,0,0,0,0,,False
ACC_00010,2024-06-01,800,804,812,3,1641470,0,0,0,0,0,0,,False
ACC_00010,2024-12-01,805,814,824,3,1607952,0,0,0,0,0,0,,False
ACC_00011,2024-01-01,795,804,814,2,3386484,0,0,0,0,0,0,,False
ACC_00011,2024-06-01,808,811,820,1,1073229,0,0,0,0,0,0,,False
ACC_00011,2024-12-01,805,805,810,2,3385918,0,0,0,0,0,0,,False
ACC_00012,2024-01-01,775,777,784,2,58498,0,0,0,0,0,0,,False
ACC_00012,2024-06-01,781,785,790,3,80375,0,0,0,0,0,0,,False
ACC_00012,2024-12-01,794,794,801,1,27643,0,0,0,0,0,0,,False
ACC_00013,2024-01-01,791,791,801,2,185822,0,0,0,0,0,0,0.14,False
ACC_00013,2024-06-01,794,799,798,1,103972,0,0,0,0,0,0,0.19,False
ACC_00013,2024-12-01,796,805,800,2,149775,0,0,0,0,0,0,0.16,False
ACC_00014,2024-01-01,673,672,682,2,465071,0,0,0,0,0,0,,False
ACC_00014,2024-06-01,679,679,685,1,215222,0,0,0,0,0,0,,False
ACC_00014,2024-12-01,643,622,611,4,766253,3,71,1,2,4,1,,False
ACC_00015,2024-01-01,696,706,711,2,232013,0,0,0,0,0,0,,False
ACC_00015,2024-06-01,687,687,682,1,148865,0,0,0,0,0,0,,False
ACC_00015,2024-12-01,630,617,591,2,225603,3,35,4,6,7,2,,False
ACC_00016,2024-01-01,691,696,706,3,1450931,0,0,0,0,0,0,,False
ACC_00016,2024-06-01,685,690,691,1,337124,0,0,0,0,0,0,,False
ACC_00016,2024-12-01,631,618,605,2,660810,3,79,1,2,2,2,,False
ACC_00017,2024-01-01,802,812,814,1,581091,0,0,0,0,0,0,,False
ACC_00017,2024-06-01,808,816,815,2,1147925,0,0,0,0,0,0,,False
ACC_00017,2024-12-01,811,807,802,2,649840,0,0,0,0,0,0,,False
ACC_00018,2024-01-01,633,618,604,5,1764112,1,0,2,4,5,0,,False
ACC_00018,2024-06-01,623,607,581,5,1616400,3,40,1,3,4,2,,False
ACC_00018,2024-12-01,572,559,552,2,607383,2,72,4,5,7,2,,False
ACC_00019,2024-01-01,684,693,701,1,15679,0,0,0,0,0,0,0.18,False
ACC_00019,2024-06-01,692,689,690,3,47125,0,0,0,0,0,0,0.39,False
ACC_00019,2024-12-01,655,635,621,4,71116,3,62,2,3,3,2,0.28,False
ACC_00020,2024-01-01,604,581,567,5,1858112,0,9,2,2,2,0,,False
ACC_00020,2024-06-01,578,569,552,2,650212,3,50,2,4,5,3,,False
ACC_00020,2024-12-01,546,523,501,2,519803,1,68,1,1,3,3,,True
ACC_00021,2024-01-01,683,684,694,3,1568098,0,0,0,0,0,0,,False
ACC_00021,2024-06-01,693,693,691,2,1405909,0,0,0,0,0,0,,False
ACC_00021,2024-12-01,655,647,621,4,2072979,3,84,2,4,5,1,,False
ACC_00022,2024-01-01,640,615,604,3,1470641,1,0,1,1,2,0,,False
ACC_00022,2024-06-01,609,601,585,3,1318336,1,87,4,6,6,1,,False
ACC_00022,2024-12-01,583,564,549,3,1210823,1,30,2,3,3,3,,False
ACC_00023,2024-01-01,773,769,770,1,486068,0,0,0,0,0,0,,False
ACC_00023,2024-06-01,782,784,792,2,829754,0,0,0,0,0,0,,False
ACC_00023,2024-12-01,781,776,775,1,546512,0,0,0,0,0,0,,False
ACC_00024,2024-01-01,624,602,593,4,28510370,1,6,2,3,5,1,,False
ACC_00024,2024-06-01,612,602,573,4,28828518,3,43,2,3,5,3,,False
ACC_00024,2024-12-01,563,538,511,4,19651215,3,62,1,2,2,1,,False
ACC_00025,2024-01-01,694,693,688,3,6860285,0,0,0,0,0,0,,False
ACC_00025,2024-06-01,703,711,716,2,5741898,0,0,0,0,0,0,,False
ACC_00025,2024-12-01,636,628,613,2,4787938,1,82,4,5,6,2,,False
ACC_00026,2024-01-01,742,744,749,3,1043383,0,0,0,0,0,0,,False
ACC_00026,2024-06-01,746,751,760,1,409043,0,0,0,0,0,0,,False
ACC_00026,2024-12-01,757,757,752,1,354249,0,0,0,0,0,0,,False
ACC_00027,2024-01-01,724,731,737,1,2279385,0,0,0,0,0,0,,False
ACC_00027,2024-06-01,736,734,738,2,3795265,0,0,0,0,0,0,,False
ACC_00027,2024-12-01,663,647,627,4,9105816,1,45,2,4,4,3,,False
ACC_00028,2024-01-01,618,600,578,3,171092,0,5,2,2,3,0,0.15,False
ACC_00028,2024-06-01,611,599,574,5,347336,1,15,2,3,4,1,0.22,False
ACC_00028,2024-12-01,557,538,527,2,125544,3,30,3,3,4,2,0.3,False
ACC_00029,2024-01-01,751,746,746,1,36385,0,0,0,0,0,0,0.15,False
ACC_00029,2024-06-01,769,778,783,1,51015,0,0,0,0,0,0,0.21,False
ACC_00029,2024-12-01,769,770,766,3,96810,0,0,0,0,0,0,0.29,False
ACC_00030,2024-01-01,759,761,764,3,860100,0,0,0,0,0,0,,False
ACC_00030,2024-06-01,770,776,785,1,287119,0,0,0,0,0,0,,False
ACC_00030,2024-12-01,774,784,784,1,186220,0,0,0,0,0,0,,False
ACC_00031,2024-01-01,683,684,685,1,60140,0,0,0,0,0,0,0.23,False
ACC_00031,2024-06-01,690,687,697,3,206989,0,0,0,0,0,0,0.13,False
ACC_00031,2024-12-01,655,642,612,5,391374,1,80,1,3,5,1,0.13,False
ACC_00032,2024-01-01,696,696,691,3,1849135,0,0,0,0,0,0,,False
ACC_00032,2024-06-01,707,716,713,3,1290439,0,0,0,0,0,0,,False
ACC_00032,2024-12-01,639,617,596,4,2745590,1,75,2,3,5,3,,False
ACC_00033,2024-01-01,688,693,688,3,1985306,0,0,0,0,0,0,,False
ACC_00033,2024-06-01,699,699,697,1,647786,0,0,0,0,0,0,,False
ACC_00033,2024-12-01,664,640,613,3,1709197,3,63,1,1,2,2,,False
ACC_00034,2024-01-01,746,756,756,3,96677,0,0,0,0,0,0,,False
ACC_00034,2024-06-01,753,749,746,1,31139,0,0,0,0,0,0,,False
ACC_00034,2024-12-01,767,773,770,3,118791,0,0,0,0,0,0,,False
ACC_00035,2024-01-01,770,777,777,3,921573,0,0,0,0,0,0,,False
ACC_00035,2024-06-01,776,772,768,1,255936,0,0,0,0,0,0,,False
ACC_00035,2024-12-01,785,787,795,1,392791,0,0,0,0,0,0,,False
ACC_00036,2024-01-01,634,615,596,2,86431,0,2,0,1,2,0,0.33,False
ACC_00036,2024-06-01,619,603,579,4,299577,2,37,2,3,4,3,0.28,False
ACC_00036,2024-12-01,578,569,547,4,300704,1,49,1,3,3,2,0.23,False
ACC_00037,2024-01-01,803,808,812,2,109196,0,0,0,0,0,0,0.19,False
ACC_00037,2024-06-01,804,808,805,2,154794,0,0,0,0,0,0,0.11,False
ACC_00037,2024-12-01,810,815,822,3,162943,0,0,0,0,0,0,0.37,False
ACC_00038,2024-01-01,762,772,780,3,1859425,0,0,0,0,0,0,,False
ACC_00038,2024-06-01,774,777,783,3,1487206,0,0,0,0,0,0,,False
ACC_00038,2024-12-01,783,790,792,2,764609,0,0,0,0,0,0,,False
ACC_00039,2024-01-01,793,800,804,3,146905,0,0,0,0,0,0,,False
ACC_00039,2024-06-01,800,799,794,1,38294,0,0,0,0,0,0,,False
ACC_00039,2024-12-01,806,807,812,1,57798,0,0,0,0,0,0,,False
ACC_00040,2024-01-01,757,765,764,3,333736,0,0,0,0,0,0,,False
ACC_00040,2024-06-01,766,776,786,3,231921,0,0,0,0,0,0,,False
ACC_00040,2024-12-01,768,777,772,2,252018,0,0,0,0,0,0,,False
ACC_00041,2024-01-01,683,688,694,3,1076046,0,0,0,0,0,0,,False
ACC_00041,2024-06-01,699,705,707,3,1211694,0,0,0,0,0,0,,False
ACC_00041,2024-12-01,667,644,622,5,1895438,1,55,2,3,3,3,,False
ACC_00042,2024-01-01,642,620,608,4,197459,1,10,1,2,4,1,0.18,False
ACC_00042,2024-06-01,638,629,600,2,89309,0,17,0,0,1,0,0.12,False
ACC_00042,2024-12-01,583,564,535,3,146823,1,34,2,4,5,2,0.22,False
ACC_00043,2024-01-01,690,700,702,2,751295,0,0,0,0,0,0,,False
ACC_00043,2024-06-01,699,696,704,3,968617,0,0,0,0,0,0,,False
ACC_00043,2024-12-01,632,609,592,3,989795,1,74,4,5,6,2,,False
ACC_00044,2024-01-01,797,798,798,3,5840563,0,0,0,0,0,0,,False
ACC_00044,2024-06-01,804,811,816,3,6397760,0,0,0,0,0,0,,False
ACC_00044,2024-12-01,811,810,809,1,2402270,0,0,0,0,0,0,,False
ACC_00045,2024-01-01,791,796,805,1,217310,0,0,0,0,0,0,,False
ACC_00045,2024-06-01,798,794,795,1,146755,0,0,0,0,0,0,,False
ACC_00045,2024-12-01,807,810,809,1,178267,0,0,0,0,0,0,,False
ACC_00046,2024-01-01,793,797,796,2,181459,0,0,0,0,0,0,,False
ACC_00046,2024-06-01,812,813,814,2,207709,0,0,0,0,0,0,,False
ACC_00046,2024-12-01,817,820,817,1,131919,0,0,0,0,0,0,,False
ACC_00047,2024-01-01,703,707,711,2,1190308,0,0,0,0,0,0,,False
ACC_00047,2024-06-01,713,708,713,2,1029167,0,0,0,0,0,0,,False
ACC_00047,2024-12-01,687,681,669,3,1624856,3,43,3,3,3,2,,False
ACC_00048,2024-01-01,697,704,707,1,220407,0,0,0,0,0,0,,False
ACC_00048,2024-06-01,713,722,724,3,577668,0,0,0,0,0,0,,False
ACC_00048,2024-12-01,634,610,595,4,784990,2,74,2,3,4,1,,False
ACC_00049,2024-01-01,720,720,716,1,143783,0,0,0,0,0,0,0.21,False
ACC_00049,2024-06-01,729,724,727,1,99081,0,0,0,0,0,0,0.13,False
ACC_00049,2024-12-01,691,681,651,5,458601,1,65,0,2,3,2,0.34,False
ACC_00050,2024-01-01,791,786,782,2,233610,0,0,0,0,0,0,0.36,False
ACC_00050,2024-06-01,801,806,812,1,97015,0,0,0,0,0,0,0.34,False
ACC_00050,2024-12-01,807,811,809,1,96244,0,0,0,0,0,0,0.31,False
ACC_00051,2024-01-01,759,761,766,3,92936,0,0,0,0,0,0,0.35,False
ACC_00051,2024-06-01,768,769,767,3,115182,0,0,0,0,0,0,0.38,False
ACC_00051,2024-12-01,768,774,772,1,42327,0,0,0,0,0,0,0.16,False
ACC_00052,2024-01-01,786,783,787,2,1142581,0,0,0,0,0,0,,False
ACC_00052,2024-06-01,792,791,792,3,1367228,0,0,0,0,0,0,,False
ACC_00052,2024-12-01,801,800,807,2,1200394,0,0,0,0,0,0,,False
ACC_00053,2024-01-01,728,732,738,1,19720,0,0,0,0,0,0,0.13,False
ACC_00053,2024-06-01,735,745,746,1,25729,0,0,0,0,0,0,0.32,False
ACC_00053,2024-12-01,705,687,681,4,121265,1,83,1,2,2,3,0.38,False
ACC_00054,2024-01-01,782,791,801,2,262207,0,0,0,0,0,0,,False
ACC_00054,2024-06-01,797,804,809,3,389416,0,0,0,0,0,0,,False
ACC_00054,2024-12-01,801,797,807,3,401629,0,0,0,0,0,0,,False
ACC_00055,2024-01-01,615,598,584,4,1182557,1,5,0,1,1,0,,False
ACC_00055,2024-06-01,605,592,584,2,454434,0,8,0,1,2,1,,False
ACC_00055,2024-12-01,551,545,522,5,1164120,1,49,1,1,3,2,,False
ACC_00056,2024-01-01,716,712,711,1,100144,0,0,0,0,0,0,,False
ACC_00056,2024-06-01,733,730,740,2,192413,0,0,0,0,0,0,,False
ACC_00056,2024-12-01,699,680,658,3,364036,1,45,1,1,1,3,,False
ACC_00057,2024-01-01,760,764,771,1,251213,0,0,0,0,0,0,,False
ACC_00057,2024-06-01,763,773,769,1,152631,0,0,0,0,0,0,,False
ACC_00057,2024-12-01,771,770,772,3,816562,0,0,0,0,0,0,,False
ACC_00058,2024-01-01,614,605,578,5,7473456,0,1,1,1,1,1,,False
ACC_00058,2024-06-01,594,578,567,2,2774529,3,34,4,5,7,3,,False
ACC_00058,2024-12-01,554,544,526,3,5260498,2,74,4,4,6,2,,False
ACC_00059,2024-01-01,656,649,621,4,309022,1,13,0,2,4,0,,False
ACC_00059,2024-06-01,651,642,617,2,98918,1,59,2,4,4,1,,False
ACC_00059,2024-12-01,595,585,561,3,222106,1,72,1,2,4,2,,False
ACC_00060,2024-01-01,797,794,796,2,1373449,0,0,0,0,0,0,,False
ACC_00060,2024-06-01,812,811,814,1,640968,0,0,0,0,0,0,,False
ACC_00060,2024-12-01,808,816,815,2,1772690,0,0,0,0,0,0,,False
ACC_00061,2024-01-01,772,771,781,2,144820,0,0,0,0,0,0,,False
ACC_00061,2024-06-01,782,786,783,3,202733,0,0,0,0,0,0,,False
ACC_00061,2024-12-01,787,795,795,3,216147,0,0,0,0,0,0,,False
ACC_00062,2024-01-01,672,667,661,4,11886514,1,9,2,4,4,0,,False
ACC_00062,2024-06-01,641,630,620,5,16496776,1,30,1,3,5,1,,False
ACC_00062,2024-12-01,604,592,569,5,15798665,1,51,4,4,5,1,,False
ACC_00063,2024-01-01,626,603,593,5,7302448,0,19,1,1,1,0,,False
ACC_00063,2024-06-01,595,573,568,3,5377125,2,56,4,4,5,2,,False
ACC_00063,2024-12-01,573,550,532,5,6298868,1,31,4,6,8,2,,False
ACC_00064,2024-01-01,767,767,775,2,991332,0,0,0,0,0,0,,False
ACC_00064,2024-06-01,772,775,783,1,443818,0,0,0,0,0,0,,False
ACC_00064,2024-12-01,784,782,789,1,487402,0,0,0,0,0,0,,False
ACC_00065,2024-01-01,698,695,702,1,550117,0,0,0,0,0,0,,False
ACC_00065,2024-06-01,713,719,724,1,434743,0,0,0,0,0,0,,False
ACC_00065,2024-12-01,639,619,594,2,926310,3,60,3,4,5,1,,False
ACC_00066,2024-01-01,684,684,689,3,1215059,0,0,0,0,0,0,,False
ACC_00066,2024-06-01,694,702,697,2,962049,0,0,0,0,0,0,,False
ACC_00066,2024-12-01,658,644,637,5,2035241,3,77,1,1,2,3,,False
ACC_00067,2024-01-01,748,749,752,3,7408982,0,0,0,0,0,0,,False
ACC_00067,2024-06-01,755,764,762,2,5440942,0,0,0,0,0,0,,False
ACC_00067,2024-12-01,768,764,768,2,5389037,0,0,0,0,0,0,,False
ACC_00068,2024-01-01,702,703,706,1,897397,0,0,0,0,0,0,,False
ACC_00068,2024-06-01,713,716,712,3,4360580,0,0,0,0,0,0,,False
ACC_00068,2024-12-01,644,631,606,5,4186176,3,40,4,6,6,2,,False
ACC_00069,2024-01-01,758,766,769,2,269725,0,0,0,0,0,0,0.36,False
ACC_00069,2024-06-01,764,766,767,2,176841,0,0,0,0,0,0,0.36,False
ACC_00069,2024-12-01,765,773,770,1,118913,0,0,0,0,0,0,0.22,False
ACC_00070,2024-01-01,678,673,678,3,226387,0,0,0,0,0,0,0.25,False
ACC_00070,2024-06-01,686,684,685,3,279810,0,0,0,0,0,0,0.3,False
ACC_00070,2024-12-01,653,638,627,3,176695,2,82,0,0,1,2,0.14,False
ACC_00071,2024-01-01,642,624,595,4,54650,1,15,1,1,3,1,0.4,False
ACC_00071,2024-06-01,630,613,583,2,27637,3,68,1,3,4,2,0.2,False
ACC_00071,2024-12-01,578,569,542,3,40015,1,49,3,5,7,1,0.28,True
ACC_00072,2024-01-01,623,618,608,4,2345397,0,21,0,2,2,1,,False
ACC_00072,2024-06-01,606,589,562,3,1013287,2,44,1,2,2,2,,False
ACC_00072,2024-12-01,561,549,528,3,1508749,1,81,2,3,5,2,,False
ACC_00073,2024-01-01,622,616,609,4,5547604,1,0,1,2,4,1,,False
ACC_00073,2024-06-01,594,586,577,3,3624445,3,46,4,5,5,1,,False
ACC_00073,2024-12-01,562,552,524,3,3016044,1,86,2,4,5,3,,True
ACC_00074,2024-01-01,701,699,707,2,1103563,0,0,0,0,0,0,,False
ACC_00074,2024-06-01,716,716,726,1,434557,0,0,0,0,0,0,,False
ACC_00074,2024-12-01,681,661,640,5,2008140,1,54,2,2,2,1,,False
ACC_00075,2024-01-01,765,770,778,3,1377535,0,0,0,0,0,0,,False
ACC_00075,2024-06-01,771,771,780,1,675810,0,0,0,0,0,0,,False
ACC_00075,2024-12-01,781,780,781,2,1300665,0,0,0,0,0,0,,False
ACC_00076,2024-01-01,724,731,727,3,3125333,0,0,0,0,0,0,,False
ACC_00076,2024-06-01,727,731,729,3,2988247,0,0,0,0,0,0,,False
ACC_00076,2024-12-01,667,650,644,5,4880879,2,53,2,4,6,3,,False
ACC_00077,2024-01-01,719,715,714,2,610908,0,0,0,0,0,0,,False
ACC_00077,2024-06-01,729,732,735,2,349060,0,0,0,0,0,0,,False
ACC_00077,2024-12-01,651,628,602,4,1165240,3,34,1,3,4,1,,False
ACC_00078,2024-01-01,623,614,584,4,3012657,1,23,1,3,5,0,,False
ACC_00078,2024-06-01,595,588,560,3,1958456,1,76,2,4,5,1,,False
ACC_00078,2024-12-01,557,552,523,2,1300240,3,84,3,3,4,2,,False
ACC_00079,2024-01-01,773,783,793,1,234312,0,0,0,0,0,0,,False
ACC_00079,2024-06-01,778,784,793,3,516425,0,0,0,0,0,0,,False
ACC_00079,2024-12-01,791,795,800,2,304124,0,0,0,0,0,0,,False
ACC_00080,2024-01-01,769,773,777,1,689963,0,0,0,0,0,0,,False
ACC_00080,2024-06-01,774,779,784,3,1636102,0,0,0,0,0,0,,False
ACC_00080,2024-12-01,784,788,784,2,1182404,0,0,0,0,0,0,,False
ACC_00081,2024-01-01,685,689,685,3,332404,0,0,0,0,0,0,0.15,False
ACC_00081,2024-06-01,691,697,704,3,302594,0,0,0,0,0,0,0.26,False
ACC_00081,2024-12-01,658,650,640,2,251416,2,82,3,5,6,3,0.29,False
ACC_00082,2024-01-01,779,786,788,1,246793,0,0,0,0,0,0,,False
ACC_00082,2024-06-01,788,798,793,1,341552,0,0,0,0,0,0,,False
ACC_00082,2024-12-01,791,788,786,1,338395,0,0,0,0,0,0,,False
ACC_00083,2024-01-01,719,722,728,2,624505,0,0,0,0,0,0,,False
ACC_00083,2024-06-01,727,726,736,1,301956,0,0,0,0,0,0,,False
ACC_00083,2024-12-01,696,676,650,5,1308957,2,58,0,0,0,3,,False
ACC_00084,2024-01-01,617,607,599,2,27464,1,7,0,2,2,1,,False
ACC_00084,2024-06-01,595,587,582,5,65854,2,66,3,5,6,2,,False
ACC_00084,2024-12-01,557,550,530,3,70866,3,35,2,4,5,1,,False
ACC_00085,2024-01-01,610,592,576,3,156482,1,15,1,2,3,1,0.35,False
ACC_00085,2024-06-01,598,587,559,2,159976,1,85,2,3,5,2,0.19,False
ACC_00085,2024-12-01,549,544,528,5,270405,1,55,3,4,6,1,0.24,False
ACC_00086,2024-01-01,678,674,681,2,174555,0,0,0,0,0,0,,False
ACC_00086,2024-06-01,689,695,696,3,290158,0,0,0,0,0,0,,False
ACC_00086,2024-12-01,660,655,632,2,127236,2,46,4,6,6,1,,False
ACC_00087,2024-01-01,668,652,634,5,5537694,1,8,2,2,2,1,,False
ACC_00087,2024-06-01,649,643,633,3,2613176,2,62,2,2,3,2,,False
ACC_00087,2024-12-01,599,583,568,4,5334792,2,35,1,1,1,2,,False
ACC_00088,2024-01-01,702,707,702,2,475791,0,0,0,0,0,0,,False
ACC_00088,2024-06-01,717,727,724,1,130736,0,0,0,0,0,0,,False
ACC_00088,2024-12-01,683,674,644,4,932594,2,48,2,4,5,1,,False
ACC_00089,2024-01-01,607,601,584,3,1253560,1,11,0,1,3,0,,False
ACC_00089,2024-06-01,584,564,548,3,1531962,2,70,4,4,4,1,,False
ACC_00089,2024-12-01,555,536,524,5,1458598,1,55,2,3,3,1,,False
ACC_00090,2024-01-01,792,798,804,1,624109,0,0,0,0,0,0,,False
ACC_00090,2024-06-01,800,800,802,1,604856,0,0,0,0,0,0,,False
ACC_00090,2024-12-01,801,800,810,3,1082326,0,0,0,0,0,0,,False
ACC_00091,2024-01-01,773,768,763,1,104337,0,0,0,0,0,0,0.24,False
ACC_00091,2024-06-01,785,788,798,1,129379,0,0,0,0,0,0,0.13,False
ACC_00091,2024-12-01,790,791,792,2,289453,0,0,0,0,0,0,0.38,False
ACC_00092,2024-01-01,796,803,801,2,199710,0,0,0,0,0,0,0.17,False
ACC_00092,2024-06-01,799,794,802,2,209604,0,0,0,0,0,0,0.21,False
ACC_00092,2024-12-01,809,813,818,2,173174,0,0,0,0,0,0,0.28,False
ACC_00093,2024-01-01,612,588,578,5,377323,1,23,1,2,4,1,0.33,False
ACC_00093,2024-06-01,595,589,578,4,192983,1,70,2,4,6,2,0.12,False
ACC_00093,2024-12-01,553,545,534,3,129918,3,78,3,4,6,2,0.19,False
ACC_00094,2024-01-01,796,800,798,2,584050,0,0,0,0,0,0,,False
ACC_00094,2024-06-01,806,804,807,2,696628,0,0,0,0,0,0,,False
ACC_00094,2024-12-01,812,822,819,1,353222,0,0,0,0,0,0,,False
ACC_00095,2024-01-01,787,790,800,2,579247,0,0,0,0,0,0,,False
ACC_00095,2024-06-01,795,803,800,2,380000,0,0,0,0,0,0,,False
ACC_00095,2024-12-01,804,809,804,1,274379,0,0,0,0,0,0,,False
ACC_00096,2024-01-01,645,622,612,4,1089807,1,13,1,1,1,1,,False
ACC_00096,2024-06-01,628,612,590,4,1072671,1,85,1,3,3,3,,False
ACC_00096,2024-12-01,585,579,561,2,559150,1,88,4,4,5,2,,False
ACC_00097,2024-01-01,637,630,614,3,538610,0,2,1,3,5,0,,False
ACC_00097,2024-06-01,631,617,599,4,741455,2,31,1,2,3,1,,False
ACC_00097,2024-12-01,574,551,530,4,943783,2,50,4,6,8,1,,True
ACC_00098,2024-01-01,757,755,751,2,103107,0,0,0,0,0,0,0.36,False
ACC_00098,2024-06-01,771,775,776,3,239759,0,0,0,0,0,0,0.39,False
ACC_00098,2024-12-01,774,769,775,3,144835,0,0,0,0,0,0,0.24,False
ACC_00099,2024-01-01,699,708,710,3,6686748,0,0,0,0,0,0,,False
ACC_00099,2024-06-01,711,717,713,1,2170491,0,0,0,0,0,0,,False
ACC_00099,2024-12-01,676,652,642,2,3410095,1,60,0,0,1,2,,False
ACC_00100,2024-01-01,709,716,723,3,317304,0,0,0,0,0,0,,False
ACC_00100,2024-06-01,716,721,729,1,143466,0,0,0,0,0,0,,False
ACC_00100,2024-12-01,689,671,653,4,435456,3,65,1,2,3,2,,False
ACC_00101,2024-01-01,796,802,799,2,617947,0,0,0,0,0,0,,False
ACC_00101,2024-06-01,810,811,811,2,959867,0,0,0,0,0,0,,False
ACC_00101,2024-12-01,809,804,802,3,1426643,0,0,0,0,0,0,,False
ACC_00102,2024-01-01,700,702,705,2,340536,0,0,0,0,0,0,,False
ACC_00102,2024-06-01,704,714,713,2,544230,0,0,0,0,0,0,,False
ACC_00102,2024-12-01,636,629,605,3,771188,1,49,1,3,3,1,,True
ACC_00103,2024-01-01,615,607,579,2,112329,1,30,0,0,2,0,,False
ACC_00103,2024-06-01,603,582,574,3,194764,1,22,0,2,4,0,,False
ACC_00103,2024-12-01,554,545,522,3,168885,1,68,1,1,1,3,,False
ACC_00104,2024-01-01,785,791,796,3,2070631,0,0,0,0,0,0,,False
